Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
freer-simple/0,1.1770567308166224e-4,1.1748256216943222e-4,1.1816569758296953e-4,1.0412497492203772e-6,6.386896946999593e-7,1.6358846327794785e-6
freer-simple/1,1.42608402664862e-4,1.4234811587648496e-4,1.4288832357716965e-4,9.422667344442307e-7,8.318468053795377e-7,1.0701552310247654e-6
freer-simple/5,1.9784256370377484e-4,1.976099716874548e-4,1.9813369122906544e-4,8.356761818419447e-7,7.018019943051663e-7,1.064713918853466e-6
freer-simple/10,3.088063647257388e-4,3.083334947269021e-4,3.1025082195370804e-4,2.519426869077223e-6,9.1079307138755e-7,5.368957857723908e-6
fused-effects/0,3.7210380119417794e-4,3.714452653028271e-4,3.727390592991482e-4,2.1805987869256875e-6,1.854449635584326e-6,2.6541279721612835e-6
fused-effects/1,3.9408617524833536e-4,3.930522275725892e-4,3.960068365836604e-4,4.696720884596936e-6,2.842444217689681e-6,7.90097021071911e-6
fused-effects/5,4.498297609660855e-4,4.4906011259277016e-4,4.505734754841748e-4,2.4801897810002665e-6,2.0416950574352822e-6,3.078953865745195e-6
fused-effects/10,5.210612036070835e-4,5.198232401225477e-4,5.228219402068122e-4,5.14642140467377e-6,3.88581753129182e-6,6.7618316088208695e-6
mtl/0,1.644150346622951e-4,1.641846804095555e-4,1.647035303309349e-4,8.825852077477001e-7,7.148162714489598e-7,1.0876994532253783e-6
mtl/1,1.7432829165227036e-4,1.7395326073120357e-4,1.7469798220318627e-4,1.2103557014021278e-6,1.0026280438214376e-6,1.5482347988799652e-6
mtl/5,1.9423788094439812e-4,1.9349884586260536e-4,1.9485488810835154e-4,2.262393843730325e-6,1.8806636597715626e-6,2.6610078276514816e-6
mtl/10,2.1479277967393024e-4,2.1440908819812544e-4,2.1541498240081264e-4,1.6479808096284176e-6,1.1607930881180132e-6,2.5704865033109272e-6
simple-effects/0,3.591735934837932e-5,3.579973082637539e-5,3.600655053965955e-5,3.3513537308083465e-7,2.3635286702147448e-7,4.745971653211846e-7
simple-effects/1,5.3495397159139386e-5,5.337560593988108e-5,5.3633706109555456e-5,4.328322759976175e-7,3.5501064506836065e-7,5.881168468582046e-7
simple-effects/5,1.3772685836402733e-4,1.374414399164765e-4,1.3820122738659703e-4,1.2221334255401475e-6,7.616171058233884e-7,2.014035792052337e-6
simple-effects/10,2.586097929413691e-4,2.5731919728779336e-4,2.600078433387866e-4,4.500642590957343e-6,4.059161524162617e-6,4.935410481840251e-6
polysemy/0,2.9944951059196663e-4,2.990466260377207e-4,3.000456534213669e-4,1.7439867732192468e-6,1.2586424357596445e-6,2.659295225806722e-6
polysemy/1,3.249265052146047e-4,3.2410756898942466e-4,3.261679935423896e-4,3.230893701355726e-6,2.584350190043976e-6,4.40752866845843e-6
polysemy/5,4.596310129574403e-4,4.584286301842017e-4,4.614251002140547e-4,4.8738100783404e-6,3.3542794396734194e-6,7.379519097984711e-6
polysemy/10,6.153867804174987e-4,6.148377385121011e-4,6.161979558114341e-4,2.0866370509206e-6,1.4873221305721053e-6,3.585075841280643e-6
preff/0,4.013399335701156e-3,4.009606937509044e-3,4.019821548484167e-3,1.5480535997422208e-5,1.1346171646854361e-5,2.4482699278419912e-5
preff/1,4.044440126887044e-3,4.037083312831184e-3,4.064931497988927e-3,3.792395285032874e-5,1.150308945583618e-5,7.766193190988266e-5
preff/5,4.143346779671591e-3,4.1089803854059675e-3,4.2685086719464445e-3,1.8431463165898628e-4,4.32602615113474e-5,3.8037169417625387e-4
preff/10,4.208762035413911e-3,4.195937359637346e-3,4.231003557235708e-3,4.942683933538114e-5,3.33981713429672e-5,8.335031351500238e-5
