Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
mtl (lazy)/100,1.2713344700084862e-5,1.2681768130953168e-5,1.2753466715196131e-5,1.1866324392016702e-7,9.26743946323152e-8,1.8476601830278605e-7
mtl (lazy)/1000,1.2685645899633042e-4,1.262338947051309e-4,1.279544778937446e-4,2.5844118412785225e-6,1.6466222341823188e-6,4.547908753030346e-6
mtl (strict)/100,1.1669541299575228e-5,1.1647722999163189e-5,1.169196780664855e-5,7.245259187146886e-8,5.9099638640615085e-8,8.952408685746036e-8
mtl (strict)/1000,1.1626464076813405e-4,1.1606013425482013e-4,1.164641559907141e-4,6.795692369733563e-7,5.524552647271757e-7,9.084777256497097e-7
freer-simple/100,4.046276106853502e-6,4.0392865724152465e-6,4.053631242707747e-6,2.4979778799753816e-8,2.0771954741671274e-8,2.9803909538749914e-8
freer-simple/1000,4.0994975473684895e-5,4.084060656928738e-5,4.1179701877738296e-5,5.85501055449349e-7,4.5999162919257316e-7,8.438845375720757e-7
simple-effects/100,1.2989984660334525e-5,1.2949576185845607e-5,1.3065212510881001e-5,1.7879018958918828e-7,9.701095550404145e-8,3.0584514193885556e-7
simple-effects/1000,1.2906295048790078e-4,1.2875896814388096e-4,1.293677052364366e-4,1.0247116320408265e-6,8.460027830057399e-7,1.227953572708164e-6
fused-effects/100,1.99266012646038e-5,1.9879999529396253e-5,1.9973405643142953e-5,1.6051540594957316e-7,1.269423596122e-7,1.9988781403933513e-7
fused-effects/1000,2.0204433748256175e-4,2.0162253013126404e-4,2.0245304823008617e-4,1.4117029263753847e-6,1.0130346616897331e-6,1.9453875823888996e-6
polysemy/100,2.3584518216526768e-5,2.3544823954799047e-5,2.3623425166408774e-5,1.269965017487098e-7,1.0486277622918575e-7,1.5249721668173408e-7
polysemy/1000,2.3489508122729542e-4,2.344010342089192e-4,2.353814449522951e-4,1.7406413951568409e-6,1.3338124959032314e-6,2.378353232868302e-6
preff/100,5.842980559136052e-6,5.831640195752515e-6,5.856398279165737e-6,4.368180574633486e-8,3.577028036764145e-8,5.301951626985967e-8
preff/1000,5.7750599711115025e-5,5.765084894907291e-5,5.788748794935234e-5,3.9731415304644777e-7,3.275329271129029e-7,5.07804145808466e-7
Reference/100,3.808699208167588e-8,3.800516319234034e-8,3.818510063021914e-8,2.9244136061558004e-10,2.2937360011516499e-10,4.3691602878266013e-10
Reference/1000,2.444073744038727e-7,2.437163445310117e-7,2.4731564047481187e-7,3.866180710806729e-9,9.395704554473053e-10,8.565341839393076e-9
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
mtl (lazy)/100,1.2408518555587012e-5,1.2377199660871563e-5,1.2457187589409744e-5,1.303631880697786e-7,1.0370664684388544e-7,1.7795612624477875e-7
mtl (lazy)/1000,1.2314403525046457e-4,1.2295892962053016e-4,1.2333017196426807e-4,6.142967278923374e-7,5.144413157032643e-7,8.011919273846851e-7
mtl (strict)/100,1.1169100834340797e-5,1.1157762238983408e-5,1.118765770819376e-5,4.8042013718975993e-8,3.06838206630189e-8,9.023964973394136e-8
mtl (strict)/1000,1.1079690640335123e-4,1.1072262282490492e-4,1.1087083078069264e-4,2.471960508260642e-7,1.9726345056334145e-7,3.4042981446687937e-7
freer-simple/100,4.712736063446115e-6,4.689304687452633e-6,4.7317802275288e-6,7.585800796599885e-8,6.359542796692589e-8,9.116756440524137e-8
freer-simple/1000,4.5978060053860376e-5,4.5816260563365165e-5,4.614471012815197e-5,5.589017954052564e-7,4.5217820410838275e-7,7.461445090579011e-7
simple-effects/100,1.2870837077160512e-5,1.2844317525841094e-5,1.2897215141998382e-5,8.74601357518094e-8,7.219664384665627e-8,1.0640253911052405e-7
simple-effects/1000,1.279205893413992e-4,1.2766979655049e-4,1.2820737063251272e-4,9.488517323764647e-7,7.318403246509686e-7,1.2599754412334808e-6
fused-effects/100,2.0130881494344066e-5,2.011053248355759e-5,2.0150186448764826e-5,6.699460290930828e-8,5.659726171325692e-8,8.285394543917015e-8
fused-effects/1000,1.99633102945868e-4,1.9940492641760325e-4,1.9988843430122447e-4,8.036973230987538e-7,6.498810619562419e-7,1.0316924784435239e-6
polysemy/100,2.2992102050265044e-5,2.2953337618960016e-5,2.3027163255658675e-5,1.244461357660211e-7,1.0606108920593089e-7,1.495448346596341e-7
polysemy/1000,2.2898231486028327e-4,2.2861051081127736e-4,2.2955345053421458e-4,1.468119753114601e-6,1.111815976051533e-6,2.070412034995649e-6
preff/100,5.383010686982726e-6,5.377283669388485e-6,5.390576587975028e-6,2.2190072165877445e-8,1.8359442574059726e-8,2.6644074548410553e-8
preff/1000,5.3448190494791586e-5,5.33465636801183e-5,5.356702307663703e-5,3.6239936022979964e-7,2.9865810304969066e-7,4.498572048232274e-7
Reference/100,3.867720411796003e-8,3.855726090670658e-8,3.8896132120853756e-8,5.181566991069524e-10,3.282095323477144e-10,8.626770857052893e-10
Reference/1000,2.405341728639329e-7,2.398773464298898e-7,2.412855256612009e-7,2.2575917751378914e-9,1.7156382808572158e-9,3.2900470006479e-9
