Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
simple-effects/1,4.489504534269303e-6,4.4870033578614585e-6,4.492642604708354e-6,9.139542992665495e-9,7.184372334370214e-9,1.225901764799991e-8
simple-effects/10,4.326839398916183e-5,4.322654313716527e-5,4.330581105031806e-5,1.3074393079762168e-7,1.0808543318910953e-7,1.6504054824849676e-7
simple-effects/100,4.304181643285893e-4,4.300821975209351e-4,4.307773005375384e-4,1.187902790847083e-6,9.71119426195207e-7,1.5618615685178687e-6
freer-simple/1,2.098865893587369e-6,2.0969984848383784e-6,2.101565611879023e-6,7.277570297864793e-9,4.8862473524794525e-9,1.0322884873957403e-8
freer-simple/10,2.0196458357123996e-5,2.0156456447008094e-5,2.0261953973274417e-5,1.7457525450339635e-7,1.1659488009880536e-7,2.462144599855923e-7
freer-simple/100,2.026157525334315e-4,2.0220863115087004e-4,2.032952059979787e-4,1.6684500805385357e-6,1.1544554476001696e-6,2.2189618490488326e-6
fused-effects/1,2.8862800548393216e-6,2.8821364774625083e-6,2.8893484788576114e-6,1.2512512671327665e-8,9.398152877089737e-9,1.6473753451555302e-8
fused-effects/10,2.633157944651492e-5,2.6311171800919993e-5,2.635052524628399e-5,6.722948153076679e-8,5.609670015923757e-8,8.267668180390953e-8
fused-effects/100,2.617625976803728e-4,2.615026628871671e-4,2.620809165371046e-4,9.72100080046826e-7,8.048745869088173e-7,1.214152896013503e-6
mtl/1,2.2571065698435194e-6,2.255004023012411e-6,2.2593630574086265e-6,7.305771380273695e-9,5.916817916379991e-9,9.354550652113508e-9
mtl/10,2.0801819613408097e-5,2.076803009727262e-5,2.083028492642384e-5,1.0929239704194037e-7,8.926042070277205e-8,1.4377928068522434e-7
mtl/100,2.06103972800441e-4,2.0594180658694864e-4,2.0632634892230444e-4,6.005059847219259e-7,4.345044890468225e-7,9.281402306131804e-7
polysemy/1,2.822946945257663e-6,2.812962516507688e-6,2.8364906456019348e-6,4.020794427939383e-8,2.7783379820682314e-8,5.839580450788886e-8
polysemy/10,2.668333274492605e-5,2.6651053551589276e-5,2.672170625473301e-5,1.1961358576511655e-7,1.0177326743014663e-7,1.46134872925727e-7
polysemy/100,2.6488347140830686e-4,2.640527948655244e-4,2.666807051786804e-4,3.7511607176608868e-6,1.9682773971211036e-6,6.640453994423403e-6
preff/1,1.9184714242027314e-6,1.9137747285998925e-6,1.926830746943289e-6,2.035041330908236e-8,1.1094917091617265e-8,3.294897300157124e-8
preff/10,2.0070064175182074e-5,2.0003823233634356e-5,2.0158041792556218e-5,2.50495101338249e-7,1.9832830519730716e-7,3.6805661446558836e-7
preff/100,2.5966136281248503e-4,2.593639490718092e-4,2.602016581236922e-4,1.3890045406867183e-6,8.321170605467278e-7,2.4548186598904385e-6
Reference/1,1.5914502535929273e-6,1.5891492867368986e-6,1.5996711892227746e-6,1.2478928940082847e-8,4.6763535067347095e-9,2.68395892372043e-8
Reference/10,1.550407592250142e-5,1.549606692282601e-5,1.5513472186796033e-5,2.7436510562441294e-8,2.295789220179619e-8,3.345984056042843e-8
Reference/100,1.5508768152280029e-4,1.549397412894254e-4,1.5536474705250516e-4,6.342999507894257e-7,4.196387098371814e-7,1.033930387470376e-6
